twotheta,intensity
33.4108,1365
33.4313,1406
33.4517,1413
33.4722,1350
33.4926,1387
33.5131,1366
33.5336,1311
33.554,1329
33.5745,1316
33.595,1362
33.6154,1313
33.6359,1382
33.6564,1354
33.6768,1368
33.6973,1352
33.7178,1380
33.7382,1407
33.7587,1351
33.7791,1407
33.7996,1359
33.8201,1305
33.8405,1365
33.861,1386
33.8815,1348
33.9019,1403
33.9224,1381
33.9429,1387
33.9633,1355
33.9838,1379
34.0042,1390
34.0247,1369
34.0452,1273
34.0656,1331
34.0861,1375
34.1066,1316
34.127,1400
34.1475,1298
34.168,1326
34.1884,1327
34.2089,1333
34.2293,1320
34.2498,1330
34.2703,1308
34.2907,1349
34.3112,1346
34.3317,1352
34.3521,1341
34.3726,1304
34.3931,1372
34.4135,1300
34.434,1278
34.4545,1324
34.4749,1330
34.4954,1270
34.5158,1312
34.5363,1325
34.5568,1273
34.5772,1368
34.5977,1284
34.6182,1285
34.6386,1302
34.6591,1342
34.6796,1330
34.7,1214
34.7205,1286
34.7409,1296
34.7614,1225
34.7819,1239
34.8023,1334
34.8228,1301
34.8433,1258
34.8637,1344
34.8842,1275
34.9047,1306
34.9251,1243
34.9456,1221
34.966,1329
34.9865,1282
35.007,1261
35.0274,1235
35.0479,1254
35.0684,1275
35.0888,1254
35.1093,1289
35.1298,1297
35.1502,1285
35.1707,1290
35.1912,1278
35.2116,1240
35.2321,1218
35.2525,1331
35.273,1307
35.2935,1244
35.3139,1260
35.3344,1246
35.3549,1277
35.3753,1242
35.3958,1260
35.4163,1214
35.4367,1240
35.4572,1241
35.4776,1238
35.4981,1232
35.5186,1202
35.539,1281
35.5595,1265
35.58,1230
35.6004,1238
35.6209,1216
35.6414,1265
35.6618,1303
35.6823,1283
35.7027,1303
35.7232,1253
35.7437,1192
35.7641,1218
35.7846,1229
35.8051,1250
35.8255,1208
35.846,1246
35.8665,1276
35.8869,1248
35.9074,1212
35.9279,1295
35.9483,1255
35.9688,1177
35.9892,1119
36.0097,1161
36.0302,1209
36.0506,1205
36.0711,1274
36.0916,1258
36.112,1207
36.1325,1219
36.153,1260
36.1734,1280
36.1939,1169
36.2143,1215
36.2348,1254
36.2553,1275
36.2757,1253
36.2962,1241
36.3167,1198
36.3371,1185
36.3576,1218
36.3781,1261
36.3985,1205
36.419,1224
36.4394,1179
36.4599,1230
36.4804,1220
36.5008,1248
36.5213,1256
36.5418,1300
36.5622,1192
36.5827,1218
36.6032,1256
36.6236,1253
36.6441,1140
36.6646,1216
36.685,1274
36.7055,1282
36.7259,1295
36.7464,1287
36.7669,1251
36.7873,1276
36.8078,1301
36.8283,1394
36.8487,1261
36.8692,1389
36.8897,1409
36.9101,1349
