twotheta,intensity
38.4176,4154
38.4381,4048
38.4586,4142
38.479,4053
38.4995,4151
38.52,4191
38.5404,4069
38.5609,4142
38.5813,4195
38.6018,4021
38.6223,4144
38.6427,4182
38.6632,4080
38.6837,4116
38.7041,4008
38.7246,4092
38.7451,4050
38.7655,3941
38.786,4086
38.8065,4090
38.8269,4145
38.8474,4051
38.8678,3995
38.8883,3952
38.9088,4131
38.9292,4075
38.9497,3966
38.9702,4077
38.9906,4081
39.0111,4074
39.0316,3975
39.052,4037
39.0725,4090
39.0929,4232
39.1134,4001
39.1339,4006
39.1543,4070
39.1748,4024
39.1953,3951
39.2157,4004
39.2362,3983
39.2567,4058
39.2771,4154
39.2976,4105
39.318,4065
39.3385,4142
39.359,4101
39.3794,4124
39.3999,4053
39.4204,4092
39.4408,4022
39.4613,4113
39.4818,3962
39.5022,4060
39.5227,3989
39.5432,4117
39.5636,4000
39.5841,3934
39.6045,4090
39.625,4101
39.6455,4011
39.6659,4114
39.6864,4015
39.7069,4100
39.7273,4005
39.7478,3944
39.7683,4156
39.7887,4034
39.8092,4136
39.8296,3922
39.8501,4044
39.8706,4153
39.891,4037
39.9115,3988
39.932,3977
39.9524,4091
39.9729,4076
39.9934,4009
40.0138,3989
40.0343,4180
40.0547,4010
40.0752,3938
40.0957,4060
40.1161,3888
40.1366,4109
40.1571,3922
40.1775,4007
40.198,4015
40.2185,4266
40.2389,4051
40.2594,3894
40.2799,4079
40.3003,4209
40.3208,4103
40.3412,3998
40.3617,3960
40.3822,4159
40.4026,4046
40.4231,3993
40.4436,3952
40.464,4043
40.4845,4127
40.505,4103
40.5254,4064
40.5459,4106
40.5663,4229
40.5868,4155
40.6073,4104
40.6277,4039
40.6482,4114
40.6687,4034
40.6891,4213
40.7096,4120
40.7301,4104
40.7505,4134
40.771,4064
40.7914,4143
40.8119,4004
40.8324,4029
40.8528,4032
40.8733,3997
40.8938,4006
40.9142,4102
40.9347,4082
40.9552,3970
40.9756,3962
40.9961,4185
41.0166,4022
41.037,3999
41.0575,4009
